iter	RMSE
401	3381.587963
402	3379.472425
403	3377.586563
404	3374.597571
405	3372.637437
406	3371.304119
407	3370.666095
408	3365.603596
409	3364.156771
410	3362.561411
411	3360.274383
412	3358.678908
413	3357.274995
414	3356.873986
415	3354.362673
416	3353.074808
417	3351.195591
418	3349.749237
419	3347.069646
420	3345.890819
421	3343.743504
422	3342.080837
423	3340.653817
424	3339.563022
425	3337.333267
426	3336.959954
427	3336.225272
428	3335.33467
429	3330.558068
430	3329.041892
431	3326.289796
432	3323.936164
433	3321.388306
434	3321.004279
435	3318.580037
436	3317.314341
437	3315.073587
438	3313.87312
439	3311.506759
440	3310.070311
441	3309.138758
442	3307.875729
443	3306.377348
444	3302.956073
445	3299.906835
446	3298.11524
447	3297.275814
448	3295.889254
449	3295.03529
450	3292.103831
451	3290.00103
452	3289.394168
453	3288.328229
454	3287.559903
455	3285.131801
456	3283.744393
457	3281.625239
458	3280.413709
459	3278.047786
460	3276.810287
461	3275.613329
462	3273.394956
463	3270.149998
464	3269.347923
465	3267.448716
466	3264.667774
467	3263.204361
468	3261.68685
469	3259.848712
470	3257.645582
471	3255.346623
472	3254.579676
473	3252.326389
474	3250.018709
475	3248.662276
476	3246.102044
477	3244.602796
478	3242.887451
479	3240.342279
480	3238.369967
481	3236.182182
482	3233.923225
483	3232.769399
484	3231.127865
485	3228.21689
486	3227.049134
487	3225.412444
488	3223.850633
489	3221.707801
490	3220.590376
491	3219.310547
492	3217.161791
493	3215.240025
494	3213.942122
495	3212.087996
496	3209.479182
497	3207.451616
498	3206.691092
499	3204.068267
500	3202.095124
501	3199.808038
502	3197.290074
503	3195.277588
504	3193.119657
505	3192.764806
506	3190.820311
507	3188.730267
508	3187.413637
509	3185.642838
510	3182.770345
511	3180.926582
512	3177.489555
513	3175.988092
514	3175.294141
515	3174.654514
516	3173.245592
517	3172.442089
518	3171.126997
519	3168.885127
520	3166.702149
521	3165.948505
522	3163.286128
523	3160.467627
524	3157.930751
525	3156.734566
526	3155.174629
527	3153.102104
528	3148.796176
529	3147.785999
530	3146.15475
531	3143.653808
532	3141.34766
533	3139.513441
534	3138.118035
535	3136.584233
536	3134.278336
537	3132.182876
538	3130.873109
539	3129.914639
540	3127.813507
541	3124.431085
542	3122.534701
543	3121.366127
544	3118.525033
545	3118.07368
546	3116.692931
547	3115.536976
548	3113.539336
549	3111.041649
550	3110.114398
551	3108.638051
552	3105.895379
553	3105.556767
554	3104.62428
555	3103.097026
556	3101.333113
557	3098.57632
558	3095.918425
559	3091.884893
560	3090.937034
561	3089.692361
562	3087.198458
563	3086.807178
564	3084.922161
565	3084.597965
566	3082.490549
567	3082.155552
568	3081.756651
569	3079.413536
570	3076.816484
571	3074.202695
572	3072.873136
573	3071.071551
574	3070.093962
575	3069.786575
576	3068.083488
577	3064.953488
578	3062.432374
579	3061.774744
580	3060.356531
581	3058.392673
582	3058.267861
583	3054.731822
584	3052.797152
585	3049.046977
586	3047.828306
587	3047.603913
588	3046.860299
589	3046.126418
590	3041.22684
591	3040.562615
592	3040.048318
593	3038.848406
594	3036.098683
595	3034.897945
596	3033.954025
597	3031.440178
598	3026.764264
599	3025.500112
600	3024.910292
601	3024.659006
602	3023.904494
603	3022.141416
604	3021.469343
605	3020.664177
606	3019.073461
607	3016.667578
608	3016.170043
609	3015.278702
610	3014.246268
611	3013.538141
612	3012.334615
613	3010.159408
614	3009.13842
615	3007.558521
616	3005.663284
617	3004.25476
618	3003.680952
619	3002.673033
620	3001.057096
621	2999.484211
622	2998.879886
623	2997.205557
624	2995.028068
625	2993.861385
626	2993.59447
627	2993.271703
628	2991.228455
629	2990.398318
630	2987.055374
631	2985.292607
632	2983.169286
633	2982.344172
634	2979.161696
635	2977.834035
636	2975.822182
637	2973.358917
638	2971.941491
639	2970.040531
640	2969.078713
641	2968.860595
642	2967.423432
643	2966.177864
644	2965.370644
645	2962.323553
646	2961.468912
647	2960.130782
648	2959.542846
649	2957.959305
650	2956.159822
651	2954.107446
652	2953.36842
653	2952.8109
654	2951.417949
655	2950.238183
656	2948.989718
657	2948.76062
658	2948.343749
659	2947.141243
660	2945.979305
661	2944.471164
662	2940.878036
663	2939.084429
664	2938.419923
665	2937.194367
666	2935.736632
667	2934.864212
668	2933.058369
669	2930.998052
670	2929.834202
671	2927.37535
672	2926.253358
673	2924.843174
674	2921.808845
675	2920.919423
676	2919.489842
677	2918.634241
678	2917.538574
679	2915.483019
680	2913.384876
681	2911.045834
682	2909.862491
683	2908.529557
684	2906.004588
685	2904.681602
686	2903.919042
687	2903.567313
688	2902.210855
689	2902.187086
690	2901.065994
691	2898.700264
692	2897.18063
693	2896.240173
694	2894.397037
695	2893.290432
696	2892.380145
697	2890.208976
698	2887.460684
699	2887.219906
700	2886.058712
701	2884.279673
702	2884.052235
703	2882.173574
704	2881.164758
705	2878.965956
706	2876.862591
707	2875.576489
708	2873.480867
709	2872.191747
710	2871.455344
711	2870.429158
712	2869.586471
713	2869.055825
714	2868.050627
715	2865.580963
716	2863.630719
717	2861.07832
718	2859.571402
719	2859.259778
720	2857.575903
721	2855.171195
722	2854.055296
723	2851.482511
724	2850.399585
725	2849.046682
726	2848.423977
727	2847.018102
728	2845.124879
729	2844.413622
730	2843.308015
731	2841.6136
732	2838.351928
733	2838.121017
734	2836.524597
735	2835.411164
736	2834.160052
737	2833.702832
738	2831.502106
739	2830.291879
740	2827.818015
741	2825.815419
742	2825.058342
743	2823.494573
744	2822.380625
745	2821.639357
746	2820.852986
747	2819.517112
748	2817.830214
749	2815.692124
750	2813.859671
751	2811.83454
752	2810.402394
753	2809.08806
754	2808.340832
755	2805.982308
756	2803.794571
757	2802.200704
758	2800.332533
759	2796.536536
760	2795.726802
761	2794.502692
762	2793.545295
763	2791.459319
764	2788.106187
765	2787.124737
766	2785.55036
767	2783.952685
768	2782.949685
769	2779.735362
770	2777.972833
771	2776.554944
772	2775.039582
773	2772.32227
774	2771.420615
775	2770.129705
776	2769.51806
777	2768.4501
778	2767.900274
779	2766.310333
780	2764.100166
781	2762.30303
782	2761.50889
783	2761.13494
784	2760.519153
785	2758.86386
786	2756.949834
787	2756.125237
788	2755.20405
789	2754.419984
790	2753.446265
791	2753.20427
792	2752.061674
793	2751.174057
794	2749.911747
795	2748.137775
796	2747.241166
797	2745.222945
798	2744.547582
799	2743.190215
800	2741.438907
801	2740.248389
802	2739.420084
803	2737.564406
804	2735.849517
805	2733.849076
806	2732.51229
807	2729.129169
808	2728.25679
809	2727.377649
810	2725.339952
811	2724.253613
812	2722.719856
813	2721.860604
814	2720.815663
815	2719.764049
816	2719.02639
817	2717.979567
818	2717.325531
819	2715.345104
820	2714.905539
821	2714.077854
822	2712.917275
823	2712.202473
824	2711.524647
825	2709.807212
826	2708.407483
827	2707.544183
828	2706.76354
829	2703.742104
830	2702.658238
831	2702.015684
832	2701.272891
833	2701.026364
834	2699.580963
835	2696.671368
836	2695.645208
837	2694.832022
838	2693.063558
839	2692.775564
840	2692.108511
841	2692.073659
842	2691.274266
843	2690.329555
844	2689.613661
845	2689.532912
846	2686.778774
847	2686.454596
848	2684.351497
849	2683.239289
850	2682.268334
851	2681.746692
852	2678.606446
853	2678.446901
854	2678.318031
855	2677.612438
856	2676.63174
857	2675.514202
858	2674.568325
859	2673.871134
860	2672.528729
861	2670.446995
862	2669.426157
863	2668.734106
864	2667.016153
865	2666.562994
866	2665.393421
867	2663.913876
868	2662.426997
869	2660.547449
870	2659.653713
871	2657.968456
872	2656.696455
873	2654.356913
874	2652.963685
875	2652.841961
876	2652.02848
877	2651.810527
878	2651.221868
879	2650.692187
880	2649.308819
881	2647.691683
882	2647.173999
883	2645.089966
884	2643.451034
885	2642.943677
886	2642.86462
887	2640.159552
888	2638.459946
889	2638.269221
890	2636.937174
891	2635.849707
892	2634.883258
893	2633.192728
894	2631.746177
895	2630.415702
896	2629.805554
897	2629.397633
898	2627.6676
899	2626.961065
900	2625.562081
901	2625.141988
902	2624.273322
903	2624.060956
904	2623.33717
905	2622.039979
906	2620.896776
907	2618.860533
908	2618.076891
909	2617.565959
910	2617.113653
911	2616.627458
912	2614.330249
913	2612.619651
914	2611.351907
915	2609.211001
916	2607.506634
917	2605.965819
918	2604.613958
919	2601.97681
920	2601.865716
921	2599.780304
922	2599.070092
923	2597.964635
924	2597.345113
925	2596.339476
926	2594.932995
927	2594.011777
928	2592.022478
929	2591.089874
930	2590.13275
931	2589.23011
932	2588.596303
933	2587.543933
934	2586.508534
935	2585.977109
936	2585.306842
937	2583.864291
938	2583.114309
939	2581.350236
940	2579.680716
941	2579.092331
942	2578.892325
943	2578.321119
944	2576.397308
945	2574.869703
946	2574.343206
947	2573.031526
948	2572.446131
949	2571.234969
950	2570.399419
951	2570.28767
952	2569.05784
953	2568.196482
954	2568.001604
955	2565.9019
956	2564.405332
957	2562.921827
958	2562.125038
959	2560.615701
960	2559.782959
961	2558.455055
962	2557.275508
963	2555.246393
964	2554.639166
965	2553.132356
966	2551.748305
967	2551.522224
968	2550.605932
969	2549.024019
970	2548.226544
971	2547.544173
972	2546.444917
973	2545.313705
974	2543.884235
975	2542.840272
976	2540.870018
977	2539.597522
978	2537.639231
979	2536.63449
980	2535.730431
981	2534.892952
982	2533.182516
983	2532.612627
984	2531.844153
985	2530.250263
986	2529.091803
987	2527.032094
988	2526.524876
989	2525.859867
990	2524.147496
991	2523.12417
992	2522.342965
993	2521.666438
994	2519.273532
995	2519.253476
996	2517.900772
997	2516.419582
998	2515.174897
999	2514.418019
